-1.4849,0.3099,-1.0943,0.013732
-0.040055,-0.31474,-0.68881,-0.11809
-0.93332,-0.3735,-0.057947,0.62125
-0.72169,0.34567,-0.50574,-0.50822
-2.5232,-1.564,-1.4454,-0.10532
0.95999,-0.20055,0.70965,-1.5752
-0.079118,-0.24983,0.041472,0.54522
-2.4766,-0.013768,0.42562,0.71959
2.5174,-1.4485,0.26509,1.4492
-0.61664,0.42319,0.57921,-1.1467
-0.69855,1.2746,-0.40734,-2.3091
-0.044214,-0.37083,1.2197,1.4224
0.97577,-1.0184,0.031369,0.61599
-0.41418,-0.10395,-0.25589,0.48274
0.73386,0.95271,-0.25579,0.81134
-0.53535,-0.39904,1.2204,-0.56972
0.0078265,0.17384,-1.0673,-0.20146
1.7033,-0.78914,0.68396,2.2123
-0.64681,0.66628,0.71978,-0.78682
-0.96908,-1.0913,-0.56118,-0.98249
-1.8162,-2.1321,-1.2661,-1.9417
0.10517,-2.3615,-0.065039,0.32765
-1.5065,0.52186,0.36183,2.0048
0.1797,-0.52056,-0.39827,-0.95782
0.16324,0.087232,-1.1887,-0.13214
0.82856,-0.10043,-0.58595,1.7333
2.1096,4.3773,2.2134,0.64089
-1.1946,1.2307,1.2045,0.27153
-0.20002,1.722,0.20042,1.4208
-0.55991,0.87858,-0.35349,-0.021839
-0.30146,0.071243,0.12339,-0.97803
0.19633,-1.2071,-0.86476,0.41103
-1.7829,-1.1013,-0.14474,-0.28149
1.3359,-1.1857,-1.7792,0.58552
1.9412,-1.4159,-0.79128,-1.0864
-0.97114,-0.8508,-0.66635,-0.77844
-0.64097,0.49011,0.25658,-0.5012
